clusters,y
1,0
2,0.15512077077494324
3,-0.005062803436949323
4,0.16510104576709364
5,0.14225080126538245
6,0.136459141012992
7,0.1335655123369114
8,0.14646040249608194
9,0.14091056540249927
10,0.13513147834701544
11,0.14206381240079355
12,0.17404372914268718
13,0.1702160206060214
14,0.16888303822532247
15,0.16953626927134238
16,0.16850102412900653
17,0.17279365514665296
18,0.17139842808197434
19,0.19100351615149108
20,0.20337077824296665
21,0.2024431174866674
22,0.19955037956578858
23,0.20012240324300218
24,0.20005436307515048
25,0.19894637387417366
26,0.1824534108382473
27,0.18095988554670456
28,0.17873579874545784
29,0.17787681809385944
30,0.4506435662009756
31,0.4470584088521555
32,0.4445660057055378
33,0.4450028887578572
34,0.44184609986586865
35,0.4428225633056262
36,0.4432800228298561
37,0.44186895899017103
38,0.4423176677392835
39,0.44301970669548774
40,0.4430194896195598
41,0.4418228799725243
42,0.4416554037374655
43,0.44121172400055697
44,0.44126901397693713
45,0.44098747111750075
46,0.4410993193625661
47,0.44311572328795346
48,0.44798833148873124
49,0.44761353927324304
50,0.4458999900281421
51,0.4426348580046048
52,0.43931168851416097
53,0.43898427653703
54,0.4388753110871527
55,0.43887535942497885
56,0.4386515773135832
57,0.46214078999388064
58,0.4607886333666833
59,0.46107975459339273
60,0.4607876044199765
61,0.45912501553053364
62,0.4640125843232533
63,0.4642077468864305
64,0.4642388145232746
65,0.46428709601797236
66,0.46410326221686826
67,0.4637720910495365
68,0.46348918694596725
69,0.4636950879252546
70,0.46394223416364355
71,0.4637574721077625
72,0.4636464413476454
73,0.46355781825265635
74,0.4635180037966273
75,0.4689994391308781
76,0.4642804123522111
77,0.4660314315484901
78,0.46446358024783463
79,0.46503203962219036
80,0.46503890311093554
81,0.46537996090487244
82,0.46476074387223376
83,0.4642757502599458
84,0.4636478351192604
85,0.4626533250623104
86,0.4615974737924518
87,0.4610372476863928
88,0.46013056189131074
89,0.45962257798978273
90,0.45886479660776586
91,0.4616820704432082
92,0.4615543937787527
93,0.46142146300085424
94,0.45996341234570387
95,0.4598598556105603
96,0.45956940675002694
97,0.4599680526556923
98,0.4596965155500277
99,0.45926936116777295
100,0.45927378523291773
