chemotype,odds_ratio,fisher_pval,TP
bond.C.N_imine_C.connect_H_gt_0.,7.765268512592109,0.03406637579859084,3
bond.C.N_imine_N.connect_noZ.,Inf,0.004396502377663118,3
bond.CN_amine_aromatic_generic,3.2435672406491776,6.148923457885062e-4,17
bond.CN_amine_pri.NH2_aromatic,3.1809314735781413,0.03411224249406094,6
bond.CN_amine_sec.NH_alkyl,3.761041120799523,0.012581172340215727,7
bond.CN_amine_sec.NH_aromatic,3.120001296940584,0.02453336691404979,7
bond.CN_amine_sec.NH_aromatic_aliphatic,5.407255573237942,0.00340588061934415,7
bond.CX_halide_alkenyl.Cl_dichloro_.1_1..,5.229075871575253,0.02878960224409711,4
bond.CX_halide_alkenyl.X_acyclic_generic,3.542182241030548,0.02452023506586288,6
bond.CX_halide_alkenyl.X_dihalo_.1_1..,4.176167644935983,0.04537498929761093,4
bond.CX_halide_alkyl.Cl_ethyl,10.745707357339578,9.589816806495055e-4,6
bond.CX_halide_alkyl.X_ethyl,12.70965161504439,2.1119130186372778e-4,7
bond.CX_halide_alkyl.X_ethyl_generic,3.411447204477827,0.01785831088012491,7
bond.CX_halide_alkyl.X_primary,3.411447204477827,0.01785831088012491,7
chain.alkaneCyclic_pentyl_C5,4.508670517980961,0.0021464019633564294,9
chain.alkaneCyclic_hexyl_C6,3.8529022010640412,0.0017913705950773936,11
chain.alkeneLinear_diene_1_3.butene,15.537718636070224,0.015472306444468262,3
chain.alkeneLinear_mono.ene_ehtylene_terminal,5.470038324961007,0.0016821221415819446,8
chain.alkeneLinear_mono.ene_ethylene_generic,3.112646633763954,0.001166112243744761,16
chain.aromaticAlkene_Ph.C2_acyclic_generic,7.598736996131475,0.0010463778739336104,7
chain.aromaticAlkene_Ph.C2,5.229075871575253,0.02878960224409711,4
ring.fused_.6_6._tetralin,26.559084586370957,5.824204344967238e-4,5
ring.fused_steroid_generic_.5_6_6_6.,50.51194441551702,5.422766376285945e-7,9
ring.hetero_.3._Z_generic,7.765268512592109,0.03406637579859084,3
ring.hetero_.6._N_triazine_.1_3_5..,4.357402889091034,0.004288526063215554,8
ring.hetero_.6._Z_1_3_5.,3.517963513556553,0.006769760321891129,9
